Edad,Horas_estudio,Evaluaciones_aprobadas,Participacion_foro,Tareas_entregadas,Perfil
47,3.2,1,3,1,bajo_rendimiento
22,13.4,8,8,12,alto_rendimiento
31,4.3,4,6,6,en_riesgo
27,9.0,6,3,6,rendimiento_medio
30,6.9,7,2,9,rendimiento_medio
27,6.4,4,6,9,rendimiento_medio
31,8.1,5,5,8,rendimiento_medio
26,14.0,9,7,10,alto_rendimiento
18,13.3,9,9,11,alto_rendimiento
38,5.1,4,1,4,en_riesgo
28,4.7,4,6,4,en_riesgo
38,4.0,4,5,6,en_riesgo
45,1.3,3,1,1,bajo_rendimiento
33,2.3,3,3,5,en_riesgo
49,1.1,3,3,1,bajo_rendimiento
18,10.3,10,11,12,alto_rendimiento
44,4.1,2,3,2,bajo_rendimiento
37,8.9,5,5,8,rendimiento_medio
51,3.2,2,4,0,bajo_rendimiento
24,12.8,9,8,10,alto_rendimiento
48,2.4,1,2,4,bajo_rendimiento
31,5.6,3,3,4,en_riesgo
24,7.3,7,8,7,rendimiento_medio
17,16.6,9,5,9,alto_rendimiento
28,13.7,10,9,10,alto_rendimiento
47,3.0,2,1,1,bajo_rendimiento
19,12.0,8,10,9,alto_rendimiento
44,0.5,3,3,1,bajo_rendimiento
47,1.4,2,1,0,bajo_rendimiento
31,3.4,7,4,5,en_riesgo
43,1.5,3,2,3,bajo_rendimiento
27,15.0,9,9,9,alto_rendimiento
25,13.9,9,9,9,alto_rendimiento
23,12.7,9,9,11,alto_rendimiento
17,11.5,8,9,10,alto_rendimiento
17,12.1,8,9,12,alto_rendimiento
45,2.5,3,0,0,bajo_rendimiento
33,9.5,6,5,6,rendimiento_medio
21,13.2,8,12,12,alto_rendimiento
32,7.0,5,6,8,rendimiento_medio
46,4.2,1,1,4,bajo_rendimiento
41,2.8,1,0,2,bajo_rendimiento
47,3.4,1,3,3,bajo_rendimiento
41,3.1,2,4,1,bajo_rendimiento
37,4.7,3,3,6,en_riesgo
17,12.6,9,7,11,alto_rendimiento
28,8.1,6,7,9,rendimiento_medio
30,11.1,8,11,10,alto_rendimiento
26,4.8,3,5,4,en_riesgo
19,12.6,7,9,11,alto_rendimiento
26,10.4,5,6,6,rendimiento_medio
27,14.9,9,7,10,alto_rendimiento
47,2.0,1,1,4,bajo_rendimiento
26,8.8,7,6,8,rendimiento_medio
44,4.7,2,4,0,bajo_rendimiento
32,5.7,4,6,5,en_riesgo
24,15.7,9,9,12,alto_rendimiento
24,12.8,8,10,12,alto_rendimiento
21,7.9,5,6,5,rendimiento_medio
35,9.9,6,7,7,rendimiento_medio
29,7.9,7,6,7,rendimiento_medio
47,1.4,4,7,4,bajo_rendimiento
49,2.5,2,3,5,bajo_rendimiento
45,0.5,2,1,3,bajo_rendimiento
39,3.8,5,5,4,en_riesgo
25,12.8,7,9,11,alto_rendimiento
22,16.2,9,6,12,alto_rendimiento
42,0.5,2,2,0,bajo_rendimiento
43,3.2,0,1,3,bajo_rendimiento
29,6.3,4,5,8,rendimiento_medio
28,11.4,11,8,9,alto_rendimiento
43,2.1,1,0,2,bajo_rendimiento
25,12.0,9,8,11,alto_rendimiento
29,9.4,9,9,11,alto_rendimiento
50,0.9,3,4,1,bajo_rendimiento
45,3.4,2,3,2,bajo_rendimiento
32,13.1,9,10,11,alto_rendimiento
32,7.2,4,5,4,en_riesgo
23,9.3,5,6,8,rendimiento_medio
32,8.7,5,11,4,rendimiento_medio
50,6.2,3,4,1,bajo_rendimiento
25,6.5,5,6,11,rendimiento_medio
26,7.0,6,6,10,rendimiento_medio
46,2.8,3,2,1,bajo_rendimiento
25,12.3,8,9,11,alto_rendimiento
40,2.4,3,1,1,bajo_rendimiento
23,11.7,10,6,12,alto_rendimiento
39,4.4,3,2,6,en_riesgo
21,11.0,8,7,11,alto_rendimiento
35,9.7,5,8,5,rendimiento_medio
30,5.3,6,2,5,en_riesgo
31,5.9,7,6,6,rendimiento_medio
25,14.3,9,8,12,alto_rendimiento
49,0.5,1,3,1,bajo_rendimiento
47,2.1,1,5,2,bajo_rendimiento
17,13.0,10,8,11,alto_rendimiento
28,12.7,8,11,11,alto_rendimiento
26,13.3,8,8,10,alto_rendimiento
18,11.5,9,9,11,alto_rendimiento
37,6.1,4,2,6,en_riesgo
54,0.5,1,5,3,bajo_rendimiento
26,7.4,5,6,7,rendimiento_medio
20,6.9,6,7,6,rendimiento_medio
36,3.2,5,5,5,en_riesgo
40,7.1,4,2,4,en_riesgo
40,5.5,2,5,3,bajo_rendimiento
26,13.2,10,8,10,alto_rendimiento
30,12.0,9,9,10,alto_rendimiento
29,3.5,4,5,5,en_riesgo
33,7.3,6,8,8,rendimiento_medio
17,12.9,7,8,12,alto_rendimiento
43,2.7,3,1,3,bajo_rendimiento
46,0.9,2,2,4,bajo_rendimiento
35,6.4,4,4,5,en_riesgo
35,8.1,7,8,7,rendimiento_medio
23,15.0,8,8,10,alto_rendimiento
20,13.5,9,12,12,alto_rendimiento
43,1.7,2,0,3,bajo_rendimiento
43,2.6,1,3,3,bajo_rendimiento
33,5.3,3,5,4,en_riesgo
26,7.8,7,5,9,rendimiento_medio
22,12.2,9,6,12,alto_rendimiento
26,7.2,5,9,7,rendimiento_medio
45,1.2,3,5,4,bajo_rendimiento
43,4.6,5,5,5,en_riesgo
54,1.9,2,1,3,bajo_rendimiento
34,2.6,4,2,4,en_riesgo
21,11.6,10,10,11,alto_rendimiento
33,8.6,7,5,10,rendimiento_medio
23,9.8,6,6,8,rendimiento_medio
48,0.5,4,3,2,bajo_rendimiento
34,5.3,4,5,5,en_riesgo
24,12.6,9,8,10,alto_rendimiento
24,13.4,10,8,10,alto_rendimiento
39,5.0,4,4,1,en_riesgo
21,11.8,9,9,12,alto_rendimiento
25,5.1,4,2,3,en_riesgo
33,4.1,4,7,7,en_riesgo
46,3.4,1,2,2,bajo_rendimiento
44,1.7,3,0,6,bajo_rendimiento
28,6.8,6,5,10,rendimiento_medio
30,13.7,10,10,11,alto_rendimiento
35,5.8,3,3,5,en_riesgo
31,2.7,7,4,6,en_riesgo
24,13.8,9,11,11,alto_rendimiento
40,1.4,3,2,0,bajo_rendimiento
27,11.7,8,9,12,alto_rendimiento
33,4.1,1,7,6,en_riesgo
27,8.6,6,6,8,rendimiento_medio
22,13.0,9,11,12,alto_rendimiento
27,9.7,6,9,6,rendimiento_medio
27,13.8,9,10,9,alto_rendimiento
22,13.7,8,9,10,alto_rendimiento
24,8.4,6,4,6,rendimiento_medio
19,6.8,4,4,6,rendimiento_medio
34,1.8,3,5,6,en_riesgo
47,2.2,2,4,1,bajo_rendimiento
48,2.3,1,2,1,bajo_rendimiento
26,10.3,7,6,8,rendimiento_medio
26,9.7,8,6,8,rendimiento_medio
42,1.8,4,1,2,bajo_rendimiento
36,5.9,5,3,4,en_riesgo
34,8.8,5,5,7,rendimiento_medio
31,7.9,4,8,3,en_riesgo
43,1.2,0,4,1,bajo_rendimiento
32,3.7,5,5,4,en_riesgo
31,3.8,5,5,5,en_riesgo
25,11.9,10,7,8,alto_rendimiento
46,2.7,2,0,0,bajo_rendimiento
36,5.4,5,3,7,en_riesgo
31,7.3,5,8,8,rendimiento_medio
37,3.5,5,2,5,en_riesgo
22,12.5,9,9,12,alto_rendimiento
42,1.0,2,0,0,bajo_rendimiento
23,12.0,9,7,12,alto_rendimiento
40,1.5,1,5,0,bajo_rendimiento
26,13.4,9,8,10,alto_rendimiento
36,7.0,3,2,6,en_riesgo
34,3.9,4,3,2,en_riesgo
24,6.2,7,3,9,rendimiento_medio
35,9.8,6,6,7,rendimiento_medio
33,8.0,7,9,9,rendimiento_medio
28,7.4,6,4,10,rendimiento_medio
19,15.5,9,7,12,alto_rendimiento
36,4.9,3,4,2,bajo_rendimiento
46,3.2,1,3,1,bajo_rendimiento
47,5.1,1,2,0,bajo_rendimiento
42,1.0,2,3,2,bajo_rendimiento
44,3.0,3,0,1,bajo_rendimiento
31,8.5,5,4,10,rendimiento_medio
42,2.1,4,4,4,en_riesgo
31,8.8,5,7,7,rendimiento_medio
19,12.5,8,9,12,alto_rendimiento
24,12.9,9,6,11,alto_rendimiento
31,6.3,7,6,7,rendimiento_medio
33,5.7,4,5,3,en_riesgo
33,4.8,4,5,7,en_riesgo
43,2.5,2,2,2,bajo_rendimiento
33,3.9,4,2,5,en_riesgo
28,9.4,6,4,8,rendimiento_medio
43,6.9,0,3,1,bajo_rendimiento
50,0.9,2,4,3,bajo_rendimiento
39,2.3,2,2,4,bajo_rendimiento
29,5.5,7,7,8,rendimiento_medio
35,5.8,6,6,6,rendimiento_medio
19,11.5,10,10,10,alto_rendimiento
28,4.0,7,7,8,rendimiento_medio
38,6.7,4,3,5,en_riesgo
32,5.8,5,6,7,en_riesgo
29,13.0,10,10,12,alto_rendimiento
22,15.8,8,8,11,alto_rendimiento
27,6.1,6,6,7,rendimiento_medio
18,10.0,9,9,10,alto_rendimiento
21,14.3,10,10,12,alto_rendimiento
21,14.9,11,9,11,alto_rendimiento
30,9.4,6,4,8,rendimiento_medio
29,5.4,6,8,8,rendimiento_medio
34,1.8,3,6,1,en_riesgo
32,5.7,5,3,10,rendimiento_medio
24,10.8,6,4,9,rendimiento_medio
19,11.5,9,9,10,alto_rendimiento
30,5.4,7,6,7,rendimiento_medio
35,3.7,3,2,8,en_riesgo
31,6.6,6,5,9,rendimiento_medio
24,9.7,6,5,10,rendimiento_medio
25,12.5,10,11,8,alto_rendimiento
29,15.8,9,10,11,alto_rendimiento
33,5.5,5,6,8,rendimiento_medio
31,6.6,6,7,8,rendimiento_medio
23,14.2,8,8,10,alto_rendimiento
51,0.9,4,2,0,bajo_rendimiento
41,4.8,4,4,5,en_riesgo
29,4.8,4,1,2,en_riesgo
37,7.4,6,5,11,rendimiento_medio
36,7.3,4,3,6,en_riesgo
32,6.7,8,1,6,rendimiento_medio
29,8.1,6,5,8,rendimiento_medio
29,9.4,6,6,9,rendimiento_medio
19,10.9,9,7,9,alto_rendimiento
28,9.7,7,9,5,rendimiento_medio
45,2.0,2,1,2,bajo_rendimiento
25,12.7,9,11,10,alto_rendimiento
38,3.3,3,1,2,bajo_rendimiento
46,3.3,2,3,1,bajo_rendimiento
25,11.5,6,6,9,rendimiento_medio
44,1.5,4,0,0,bajo_rendimiento
41,2.6,2,1,3,bajo_rendimiento
32,6.5,6,7,7,rendimiento_medio
40,5.6,4,2,3,en_riesgo
29,7.7,7,4,8,rendimiento_medio
24,12.9,9,8,12,alto_rendimiento
17,14.4,9,9,12,alto_rendimiento
19,8.7,6,8,7,rendimiento_medio
28,12.9,10,10,8,alto_rendimiento
47,4.1,2,3,5,bajo_rendimiento
29,14.5,9,9,12,alto_rendimiento
25,12.8,9,9,10,alto_rendimiento
47,1.6,2,0,0,bajo_rendimiento
43,2.5,3,3,3,bajo_rendimiento
22,14.2,8,11,12,alto_rendimiento
24,11.9,9,8,10,alto_rendimiento
39,5.0,5,5,7,en_riesgo
32,6.8,5,5,5,en_riesgo
34,5.9,5,3,7,rendimiento_medio
44,0.5,3,3,0,bajo_rendimiento
31,5.1,6,6,9,rendimiento_medio
41,5.7,3,6,3,en_riesgo
52,0.5,2,3,0,bajo_rendimiento
23,5.7,6,9,7,rendimiento_medio
22,13.1,9,10,12,alto_rendimiento
18,11.8,9,7,9,alto_rendimiento
17,12.3,9,9,12,alto_rendimiento
38,2.0,1,1,3,bajo_rendimiento
43,7.9,6,3,5,en_riesgo
34,5.6,4,3,4,en_riesgo
